,Exposure Id,City_id,Type,City,Country,ISO3,Region,Name,Exposure Mean,Year,Pollutant,Pollutant Name,Region Name,Units
0,142161.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",13.3,2000.0,pm25,PM25,City,µg/m3
1,142162.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",11.9,2001.0,pm25,PM25,City,µg/m3
2,142163.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",14.2,2002.0,pm25,PM25,City,µg/m3
3,142164.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",14.7,2003.0,pm25,PM25,City,µg/m3
4,142165.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",18.4,2004.0,pm25,PM25,City,µg/m3
5,142166.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",17.2,2005.0,pm25,PM25,City,µg/m3
6,142167.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",17.2,2006.0,pm25,PM25,City,µg/m3
7,142168.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",16.7,2007.0,pm25,PM25,City,µg/m3
8,142169.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",15.8,2008.0,pm25,PM25,City,µg/m3
9,142170.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",14.7,2009.0,pm25,PM25,City,µg/m3
10,142171.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",17.5,2010.0,pm25,PM25,City,µg/m3
11,142172.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",17.8,2011.0,pm25,PM25,City,µg/m3
12,142173.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",15.4,2012.0,pm25,PM25,City,µg/m3
13,142174.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",19.6,2013.0,pm25,PM25,City,µg/m3
14,142175.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",17.5,2014.0,pm25,PM25,City,µg/m3
15,142176.0,11659.0,city,An Chau,Vietnam,VNM,city,"An Chau, Vietnam",20.4,2015.0,pm25,PM25,City,µg/m3
